# Canonical Excel function list -- Microsoft 'Excel functions (alphabetical)'/'(by category)' catalog for Excel for Microsoft 365.
# Provenance: constructed manually 2026-07-01 (live fetch of support.microsoft.com was blocked by the container egress policy; functional_spec SP3 permits this documented-construction fallback).
# importance: common=everyday/ubiquitous (the off-ramp set); obscure=specialist. See scripts/build_canonical_excel_list.py for the full rubric + source URLs.
name,category,importance
ABS,math,common
ACCRINT,financial,obscure
ACCRINTM,financial,obscure
ACOS,math,common
ACOSH,math,obscure
ACOT,math,obscure
ACOTH,math,obscure
ADDRESS,lookup,common
AGGREGATE,math,obscure
AMORDEGRC,financial,obscure
AMORLINC,financial,obscure
AND,logical,common
ARABIC,math,obscure
AREAS,lookup,obscure
ARRAYTOTEXT,text,obscure
ASC,text,obscure
ASIN,math,common
ASINH,math,obscure
ATAN,math,common
ATAN2,math,common
ATANH,math,obscure
AVEDEV,stat,obscure
AVERAGE,stat,common
AVERAGEA,stat,common
AVERAGEIF,stat,common
AVERAGEIFS,stat,common
BAHTTEXT,text,obscure
BASE,math,obscure
BESSELI,engineering,obscure
BESSELJ,engineering,obscure
BESSELK,engineering,obscure
BESSELY,engineering,obscure
BETA.DIST,stat,obscure
BETA.INV,stat,obscure
BETADIST,compatibility,obscure
BETAINV,compatibility,obscure
BIN2DEC,engineering,obscure
BIN2HEX,engineering,obscure
BIN2OCT,engineering,obscure
BINOM.DIST,stat,obscure
BINOM.DIST.RANGE,stat,obscure
BINOM.INV,stat,obscure
BINOMDIST,compatibility,obscure
BITAND,engineering,obscure
BITLSHIFT,engineering,obscure
BITOR,engineering,obscure
BITRSHIFT,engineering,obscure
BITXOR,engineering,obscure
BYCOL,logical,obscure
BYROW,logical,obscure
CEILING,math,common
CEILING.MATH,math,common
CEILING.PRECISE,math,obscure
CELL,information,common
CHAR,text,common
CHIDIST,compatibility,obscure
CHIINV,compatibility,obscure
CHISQ.DIST,stat,obscure
CHISQ.DIST.RT,stat,obscure
CHISQ.INV,stat,obscure
CHISQ.INV.RT,stat,obscure
CHISQ.TEST,stat,obscure
CHITEST,compatibility,obscure
CHOOSE,lookup,common
CHOOSECOLS,dynamic-array,common
CHOOSEROWS,dynamic-array,common
CLEAN,text,common
CODE,text,common
COLUMN,lookup,common
COLUMNS,lookup,common
COMBIN,math,obscure
COMBINA,math,obscure
COMPLEX,engineering,obscure
CONCAT,text,common
CONCATENATE,text,common
CONFIDENCE,compatibility,obscure
CONFIDENCE.NORM,stat,obscure
CONFIDENCE.T,stat,obscure
CONVERT,engineering,obscure
CORREL,stat,obscure
COS,math,common
COSH,math,obscure
COT,math,obscure
COTH,math,obscure
COUNT,stat,common
COUNTA,stat,common
COUNTBLANK,stat,common
COUNTIF,stat,common
