id,category,formula,inputs,expected_kind,expected,tol
err-div0-literal,error-propagation,=1/0,,error,#DIV/0!,
err-div0-cellref,error-propagation,=A1/A2,A1=10;A2=0,error,#DIV/0!,
err-div0-mod,error-propagation,"=MOD(5,0)",,error,#DIV/0!,
err-div0-empty-divisor,error-propagation,=A1/A2,A1=5,error,#DIV/0!,
err-na-func,error-propagation,=NA(),,error,#N/A,
err-na-vlookup-miss,error-propagation,"=VLOOKUP(99,A1:B3,2,FALSE)",A1=1;B1=10;A2=2;B2=20;A3=3;B3=30,error,#N/A,
err-na-match-miss,error-propagation,"=MATCH(99,A1:A3,0)",A1=1;A2=2;A3=3,error,#N/A,
err-na-hlookup-miss,error-propagation,"=HLOOKUP(99,A1:C2,2,FALSE)",A1=1;B1=2;C1=3;A2=10;B2=20;C2=30,error,#N/A,
err-value-text-plus,error-propagation,=A1+A2,"A1=5;A2=""abc""",error,#VALUE!,
err-value-sqrt-text,error-propagation,=SQRT(A1),"A1=""x""",error,#VALUE!,
err-value-datevalue-bad,error-propagation,"=DATEVALUE(""not a date"")",,error,#VALUE!,
err-num-sqrt-neg,error-propagation,=SQRT(-1),,error,#NUM!,
err-num-overflow,error-propagation,=10^309,,error,#NUM!,
err-num-large-fact,error-propagation,=FACT(200),,error,#NUM!,
err-name-typo,error-propagation,=SUMM(A1:A2),A1=1;A2=2,error,#NAME?,
err-ref-index-oob,error-propagation,"=INDEX(A1:A3,9)",A1=1;A2=2;A3=3,error,#REF!,
err-propagate-through-sum,error-propagation,"=SUM(A1,A2)",A1=1;A2==1/0,error,#DIV/0!,
err-propagate-through-plus,error-propagation,=A1+A2,A1==1/0;A2=5,error,#DIV/0!,
err-propagate-nested,error-propagation,=A1*2,A1==SQRT(-1),error,#NUM!,
err-iferror-catches-div0,error-propagation,"=IFERROR(A1/A2,-1)",A1=10;A2=0,number,-1,0
err-iferror-passes-value,error-propagation,"=IFERROR(A1/A2,-1)",A1=10;A2=2,number,5,0
err-ifna-catches-na,error-propagation,"=IFNA(NA(),42)",,number,42,0
err-ifna-ignores-div0,error-propagation,"=IFNA(1/0,42)",,error,#DIV/0!,
err-iserror-true,error-propagation,=ISERROR(1/0),,bool,TRUE,
err-iserror-false,error-propagation,=ISERROR(1+1),,bool,FALSE,
err-iserr-na-false,error-propagation,=ISERR(NA()),,bool,FALSE,
err-isna-true,error-propagation,=ISNA(NA()),,bool,TRUE,
err-errortype-div0,error-propagation,=ERROR.TYPE(1/0),,number,2,0
err-errortype-na,error-propagation,=ERROR.TYPE(NA()),,number,7,0
err-aggregate-sum-ignores,error-propagation,=SUM(A1:A3),A1=1;A2=2;A3=3,number,6,0
err-count-ignores-error,error-propagation,=COUNT(A1:A2),A1=1;A2==1/0,number,1,0
coerce-empty-as-zero-add,coercion,=A1+5,,number,5,0
coerce-empty-in-sum,coercion,"=SUM(A1,A2,10)",A2=5,number,15,0
coerce-empty-concat,coercion,"=A1&""x""",,text,x,
coerce-text-number-add,coercion,"=""5""+2",,number,7,0
coerce-text-number-cellref,coercion,=A1+2,"A1=""5""",number,7,0
coerce-bool-true-add,coercion,=TRUE+1,,number,2,0
coerce-bool-false-add,coercion,=FALSE+5,,number,5,0
coerce-concat-numbers,coercion,=1&2,,text,12,
coerce-concat-num-text,coercion,"=A1&""kg""",A1=5,text,5kg,
coerce-n-of-text,coercion,"=N(""hello"")",,number,0,0
coerce-n-of-number,coercion,=N(7),,number,7,0
coerce-n-of-true,coercion,=N(TRUE),,number,1,0
coerce-isblank-empty,coercion,=ISBLANK(A1),,bool,TRUE,
coerce-isblank-emptystring,coercion,=ISBLANK(A1),"A1=""""",bool,FALSE,
coerce-count-blanks,coercion,=COUNT(A1:A3),A1=1;A3=3,number,2,0
coerce-counta-blanks,coercion,=COUNTA(A1:A3),A1=1;A3=3,number,2,0
coerce-countblank,coercion,=COUNTBLANK(A1:A3),A1=1;A3=3,number,1,0
coerce-sum-mixed-text,coercion,"=SUM(A1,A2,A3)","A1=1;A2=""ignored"";A3=2",number,3,0
coerce-product-with-bool,coercion,=A1*TRUE,A1=6,number,6,0
