name,static_supported,probe_recognized,agree
ABS,true,true,true
ACCRINT,false,false,true
ACCRINTM,false,false,true
ACOS,true,true,true
ACOSH,true,true,true
ACOT,true,true,true
ACOTH,true,true,true
ADDRESS,false,false,true
AGGREGATE,false,false,true
AMORDEGRC,false,false,true
AMORLINC,false,false,true
AND,true,true,true
ARABIC,true,true,true
AREAS,false,false,true
ARRAYTOTEXT,false,false,true
ASC,false,false,true
ASIN,true,true,true
ASINH,true,true,true
ATAN,true,true,true
ATAN2,true,true,true
ATANH,true,true,true
AVEDEV,true,true,true
AVERAGE,true,true,true
AVERAGEA,true,true,true
AVERAGEIF,true,true,true
AVERAGEIFS,true,true,true
BAHTTEXT,false,false,true
BASE,true,true,true
BESSELI,true,true,true
BESSELJ,true,true,true
BESSELK,true,true,true
BESSELY,true,true,true
BETA.DIST,true,true,true
BETA.INV,true,true,true
BETADIST,false,false,true
BETAINV,false,false,true
BIN2DEC,true,true,true
BIN2HEX,true,true,true
BIN2OCT,true,true,true
BINOM.DIST,true,true,true
BINOM.DIST.RANGE,true,true,true
BINOM.INV,true,true,true
BINOMDIST,false,false,true
BITAND,true,true,true
BITLSHIFT,true,true,true
BITOR,true,true,true
BITRSHIFT,true,true,true
BITXOR,true,true,true
BYCOL,false,false,true
BYROW,false,false,true
CEILING,true,true,true
CEILING.MATH,true,true,true
CEILING.PRECISE,true,true,true
CELL,true,true,true
CHAR,false,false,true
CHIDIST,false,false,true
CHIINV,false,false,true
CHISQ.DIST,true,true,true
CHISQ.DIST.RT,true,true,true
CHISQ.INV,true,true,true
CHISQ.INV.RT,true,true,true
CHISQ.TEST,true,true,true
CHITEST,false,false,true
CHOOSE,true,true,true
CHOOSECOLS,false,false,true
CHOOSEROWS,false,false,true
CLEAN,false,false,true
CODE,false,false,true
COLUMN,true,true,true
COLUMNS,true,true,true
COMBIN,true,true,true
COMBINA,true,true,true
COMPLEX,true,true,true
CONCAT,true,true,true
CONCATENATE,true,true,true
CONFIDENCE,false,false,true
CONFIDENCE.NORM,true,true,true
CONFIDENCE.T,true,true,true
CONVERT,true,true,true
CORREL,true,true,true
COS,true,true,true
COSH,true,true,true
COT,true,true,true
COTH,true,true,true
COUNT,true,true,true
COUNTA,true,true,true
COUNTBLANK,true,true,true
COUNTIF,true,true,true
COUNTIFS,true,true,true
COUPDAYBS,false,false,true
COUPDAYS,false,false,true
COUPDAYSNC,false,false,true
COUPNCD,false,false,true
COUPNUM,false,false,true
COUPPCD,false,false,true
COVAR,false,false,true
COVARIANCE.P,true,true,true
COVARIANCE.S,true,true,true
CRITBINOM,false,false,true
CSC,true,true,true
CSCH,true,true,true
CUBEKPIMEMBER,false,false,true
CUBEMEMBER,false,false,true
CUBEMEMBERPROPERTY,false,false,true
CUBERANKEDMEMBER,false,false,true
CUBESET,false,false,true
CUBESETCOUNT,false,false,true
CUBEVALUE,false,false,true
CUMIPMT,true,true,true
CUMPRINC,true,true,true
DATE,true,true,true
DATEDIF,true,true,true
DATEVALUE,true,true,true
DAVERAGE,true,true,true
DAY,true,true,true
DAYS,true,true,true
DAYS360,true,true,true
DB,true,true,true
DBCS,false,false,true
DCOUNT,true,true,true
DCOUNTA,true,true,true
DDB,true,true,true
DEC2BIN,true,true,true
DEC2HEX,true,true,true
DEC2OCT,true,true,true
DECIMAL,true,true,true
DEGREES,true,true,true
DELTA,true,true,true
DEVSQ,true,true,true
DGET,true,true,true
DISC,false,false,true
DMAX,true,true,true
DMIN,true,true,true
DOLLAR,false,false,true
DOLLARDE,true,true,true
DOLLARFR,true,true,true
DPRODUCT,true,true,true
DROP,false,false,true
DSTDEV,true,true,true
DSTDEVP,true,true,true
DSUM,true,true,true
DURATION,false,false,true
DVAR,true,true,true
DVARP,true,true,true
EDATE,true,true,true
EFFECT,true,true,true
ENCODEURL,false,false,true
EOMONTH,true,true,true
ERF,true,true,true
ERF.PRECISE,true,true,true
ERFC,true,true,true
ERFC.PRECISE,true,true,true
ERROR.TYPE,true,true,true
EVEN,true,true,true
EXACT,true,true,true
EXP,true,true,true
EXPAND,false,false,true
EXPON.DIST,true,true,true
EXPONDIST,false,false,true
F.DIST,true,true,true
F.DIST.RT,true,true,true
F.INV,true,true,true
F.INV.RT,true,true,true
F.TEST,true,true,true
FACT,true,true,true
FACTDOUBLE,true,true,true
FALSE,true,true,true
FDIST,false,false,true
FILTER,false,false,true
FILTERXML,false,false,true
FIND,true,true,true
FINDB,false,false,true
FINV,false,false,true
FISHER,true,true,true
FISHERINV,true,true,true
FIXED,false,false,true
FLOOR,true,true,true
FLOOR.MATH,true,true,true
FLOOR.PRECISE,true,true,true
FORECAST,false,false,true
FORECAST.ETS,false,false,true
FORECAST.ETS.CONFINT,false,false,true
FORECAST.ETS.SEASONALITY,false,false,true
FORECAST.ETS.STAT,false,false,true
FORECAST.LINEAR,false,false,true
FORMULATEXT,true,true,true
FREQUENCY,false,false,true
FTEST,false,false,true
FV,true,true,true
FVSCHEDULE,false,false,true
GAMMA,true,true,true
GAMMA.DIST,true,true,true
GAMMA.INV,true,true,true
GAMMADIST,false,false,true
GAMMAINV,false,false,true
GAMMALN,true,true,true
GAMMALN.PRECISE,true,true,true
GAUSS,true,true,true
GCD,true,true,true
GEOMEAN,true,true,true
GESTEP,true,true,true
GETPIVOTDATA,false,false,true
GROWTH,false,false,true
HARMEAN,true,true,true
HEX2BIN,true,true,true
HEX2DEC,true,true,true
